ICMR 5.01,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Figure 5.1,,,,,,,,,,,,,,,,,,
Internet and web-based content: key international statistics,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,NED,SWE,POL,SGP,KOR,BRA,RUS,IND,CHN,NGA
UK,UK,£0.62,£1.25,£3.15,£8.07,£15.85,,,,,,,,,,,,
France,FRA,£0.22,£0.31,£0.42,£0.63,£0.84,,,,,,,,,,,,
Germany,GER,£0.40,£0.54,£0.92,£1.35,£2.23,,,,,,,,,,,,
Italy,ITA,£0.17,£0.34,£0.72,£1.12,£1.37,,,,,,,,,,,,
USA,USA,£0.79,£1.34,£3.31,£6.93,£14.46,,,,,,,,,,,,
Japan,JPN,£4.85,£5.66,£5.52,£6.35,£7.73,,,,,,,,,,,,
Australia,AUS,£0.24,£0.37,£0.72,£2.14,£8.47,,,,,,,,,,,,
Spain,ESP,£0.14,£0.17,£0.29,£0.45,£0.54,,,,,,,,,,,,
Netherlands,NED,£0.10,£0.31,£0.40,£0.46,£0.54,,,,,,,,,,,,
Sweden,SWE,£0.75,£1.19,£1.71,£2.58,£3.25,,,,,,,,,,,,
Poland,POL,£0.00,£0.01,£0.03,£0.05,£0.05,,,,,,,,,,,,
Singapore,SGP,£0.23,£0.47,£0.95,£1.66,£2.07,,,,,,,,,,,,
South Korea,KOR,£3.37,£4.17,£5.64,£7.31,£9.08,,,,,,,,,,,,
Brazil,BRA,£0.01,£0.02,£0.02,£0.03,£0.04,,,,,,,,,,,,
Russia,RUS,£0.03,£0.07,£0.12,£0.20,£0.29,,,,,,,,,,,,
India,IND,£0.00,£0.00,£0.00,£0.00,£0.00,,,,,,,,,,,,
China,CHN,£0.10,£0.19,£0.37,£0.51,£0.72,,,,,,,,,,,,
Nigeria,NGA,£0.00,£0.02,£0.03,£0.05,0.070610118,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Source: Ofcom analysis based on data from PwC Global Entertainment and Media Outlook 2014-2018 @ pwc.com/outlook. Interpretation and manipulation of data are solely Ofcom’s responsibility.
Population figures from Ofcom/IHS 
",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ICMR 5.06,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Figure 5.6,,,,,,,,,,,,,,,,,,
Tapped on an advert in a mobile browser or application in the past month,,,,,,,,,,,,,,,,,,
Mobile internet users (%),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Country,13-Aug,14-Aug,,,,,,,,,,,,,,,,
UK,4,6,,,,,,,,,,,,,,,,
FRA,6,6,,,,,,,,,,,,,,,,
GER,7,6,,,,,,,,,,,,,,,,
ITA,10,10,,,,,,,,,,,,,,,,
USA,9,9,,,,,,,,,,,,,,,,
JPN,7,8,,,,,,,,,,,,,,,,
ESP,12,12,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Source: comScore MobiLens, August 2013 (three-month average) and August 2014 (three-month average), mobile internet users aged 13+",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ICMR 5.07,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Figure 5.7,,,,,,,,,,,,,,,,,,
Value of B2C e-commerce per head 2013,,,,,,,,,,,,,,,,,,
Value per head (£),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Country,Country,2013 (£) per head,,,,,,,,,,,,,,,,
UK,UK,"1,968",,,,,,,,,,,,,,,,
France,FRA,918,,,,,,,,,,,,,,,,
Germany,GER,909,,,,,,,,,,,,,,,,
Italy,ITA,218,,,,,,,,,,,,,,,,
USA,USA,"1,171",,,,,,,,,,,,,,,,
Japan,JPN,844,,,,,,,,,,,,,,,,
Australia,AUS,"1,356",,,,,,,,,,,,,,,,
Spain,ESP,361,,,,,,,,,,,,,,,,
Netherlands,NED,743,,,,,,,,,,,,,,,,
Sweden,SWE,"1,060",,,,,,,,,,,,,,,,
Poland,POL,161,,,,,,,,,,,,,,,,
South Korea,KOR,363,,,,,,,,,,,,,,,,
Russia,RUS,128,,,,,,,,,,,,,,,,
China,CHN*,214,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Source: European B2C e-commerce report 2014, Ecommerce Europe   Notes: Values converted from Euros to British Sterling (£1 = €1.1769896). Population figures from Ofcom/IHS. *China also includes C2C goods and services.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ICMR 5.08,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Figure 5.8,,,,,,,,,,,,,,,,,,
Take-up of fixed and mobile broadband among broadband households,,,,,,,,,,,,,,,,,,
% of broadband households,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
 ,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,CHN,,,,,,,,,
Fixed broadband only,80,83,74,46,75,77,60,59,67,,,,,,,,,
Fixed and mobile broadband,13,11,14,29,9,13,20,28,24,,,,,,,,,
Mobile broadband only,7,6,13,26,16,10,20,13,9,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research October 2014Base: All respondents with broadband, UK=929, FRA=945, GER=844, ITA=877, USA=747, JPN=737, AUS=910, ESP=903, CHN=923. Q3b. Which of the following services do you have in your home?",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ICMR 5.09,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Figure 5.9,,,,,,,,,,,,,,,,,,
Active audience on laptop and desktop computers: 2012-14,,,,,,,,,,,,,,,,,,
Online audience (millions),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,USA,UK,FRA,GER,ITA,JPN,AUS,ESP,,,,,,,,,,
Aug-12,188463.413,,,,,,,,,,,,,,,,,
Aug-13,196998.771,,,,,,,,,,,,,,,,,
Aug-14,197410.96,,,,,,,,,,,,,,,,,
Aug-12,,38877.702,43213.131,52044.088,28576.28,73529.276,14139.323,21984.838,,,,,,,,,,
Aug-13,,39218.782,42603.971,53088.538,29674.167,73655.85,14519.564,22962.179,,,,,,,,,,
Aug-14,,39659.672,37010.726,51980.564,30891.272,73655.85,15913.801,23541.369,,,,,,,,,,
Feb-12,187538.376,,,,,,,,,,,,,,,,,
Mar-12,190693.88,,,,,,,,,,,,,,,,,
Apr-12,188478.384,,,,,,,,,,,,,,,,,
May-12,187957.341,,,,,,,,,,,,,,,,,
Jun-12,187955.703,,,,,,,,,,,,,,,,,
Jul-12,187954.336,,,,,,,,,,,,,,,,,
Aug-13,196998.771,,,,,,,,,,,,,,,,,
Aug-14,197410.96,,,,,,,,,,,,,,,,,
Aug-12,,38877.702,43213.131,52044.088,28576.28,73529.276,14139.323,21984.838,,,,,,,,,,
Aug-13,,39218.782,42603.971,53088.538,29674.167,73655.85,14519.564,22962.179,,,,,,,,,,
Aug-14,,39659.672,37010.726,51980.564,30891.272,73655.85,15913.801,23541.369,,,,,,,,,,
Jan-13,189931.025,,,,,,,,,,,,,,,,,
Feb-13,190121.208,,,,,,,,,,,,,,,,,
Mar-13,191373.965,,,,,,,,,,,,,,,,,
Apr-13,191116.83,,,,,,,,,,,,,,,,,
May-13,191509.896,,,,,,,,,,,,,,,,,
Jun-13,192173.359,,,,,,,,,,,,,,,,,
Jul-13,196347.256,,,,,,,,,,,,,,,,,
Aug-14,197410.96,,,,,,,,,,,,,,,,,
Aug-12,,38877.702,43213.131,52044.088,28576.28,73529.276,14139.323,21984.838,,,,,,,,,,
Aug-13,,39218.782,42603.971,53088.538,29674.167,73655.85,14519.564,22962.179,,,,,,,,,,
Aug-14,,39659.672,37010.726,51980.564,30891.272,73655.85,15913.801,23541.369,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Source: comScore MMX, work and home panel, August 2012 to August 2014, persons 15+",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ICMR 5.10,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Figure 5.10,,,,,,,,,,,,,,,,,,
"Active audience on a laptop or desktop computer, by age: 2013- 2014",,,,,,,,,,,,,,,,,,
Share of online audience (%),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
 ,Year,15-24,25-34,35-44,45-54,55+,,,,,,,,,,,,
UK,2013,19,20.4,18.8,18.5,23.4,,,,,,,,,,,,
,2014,18.7,19.4,18.6,18.7,24.7,,,,,,,,,,,,
FRA,2013,17.4,18.3,19.6,18,26.7,,,,,,,,,,,,
,2014,18.4,18.6,19.7,17.9,25.4,,,,,,,,,,,,
GER,2013,16.1,18,18.7,23.2,24,,,,,,,,,,,,
,2014,15.7,18.1,18.2,24,23.9,,,,,,,,,,,,
ITA,2013,18.1,20.5,25.1,21.2,15,,,,,,,,,,,,
,2014,17.2,20.3,23.5,22.3,16.7,,,,,,,,,,,,
USA,2013,20.6,17.7,17.6,17.9,26.2,,,,,,,,,,,,
,2014,19.9,17.7,17.6,17.7,27.1,,,,,,,,,,,,
JPN,2013,14.9,18.7,22.7,17.7,26.1,,,,,,,,,,,,
,2014,15.2,16.6,21.9,18.4,27.9,,,,,,,,,,,,
AUS,2013,19.2,20.1,20,17.8,22.9,,,,,,,,,,,,
,2014,17.3,18.8,18.4,16.7,28.8,,,,,,,,,,,,
ESP,2013,17.6,23.4,25.6,18.9,14.5,,,,,,,,,,,,
,2014,17.4,22.8,25.8,19,15,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Source: comScore MMX, home and work panel, August 2013 and August 2014, persons 15+",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ICMR 5.11,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Figure 5.11,,,,,,,,,,,,,,,,,,
"Active audience on a laptop or desktop computer, by age and gender: August 2014",,,,,,,,,,,,,,,,,,
Share of online audience (%),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
 ,,15-24,25-34,35-44,45-54,55+,,,,,,,,,,,,
UK,M,19.1,19.5,18.1,18.3,24.9,,,,,,,,,,,,
,F,18.1,19.3,19.1,19,24.4,,,,,,,,,,,,
FRA,M,19.2,18.7,19.4,18.1,24.5,,,,,,,,,,,,
,F,17.6,18.4,20,17.8,26.2,,,,,,,,,,,,
GER,M,15.8,17.9,17.7,23.4,25.2,,,,,,,,,,,,
,F,15.6,18.4,18.8,24.7,22.4,,,,,,,,,,,,
ITA,M,17.6,19.3,22,23.1,18,,,,,,,,,,,,
,F,16.9,21.2,25,21.4,15.4,,,,,,,,,,,,
USA,M,20.9,18.1,17.6,17.3,26.1,,,,,,,,,,,,
,F,18.9,17.3,17.6,18.1,28,,,,,,,,,,,,
JPN,M,15.1,15.3,20.9,17.7,31,,,,,,,,,,,,
,F,15.4,18.1,23,19.1,24.4,,,,,,,,,,,,
AUS,M,17.9,19.7,18.4,15.9,28.2,,,,,,,,,,,,
,F,16.8,18,18.4,17.5,29.3,,,,,,,,,,,,
ESP,M,17.4,22.4,25.1,18.5,16.7,,,,,,,,,,,,
,F,17.4,23.3,26.6,19.5,13.2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Source: comScore MMX, home and work panel, August 2014, persons 15+",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ICMR 5.12,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Figure 5.12,,,,,,,,,,,,,,,,,,
Average time spent browsing on a laptop or desktop computer,,,,,,,,,,,,,,,,,,
Hours online per month,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
 ,USA,UK,GER,AUS,FRA,ESP,ITA,JPN,,,,,,,,,,
Aug-12,42.44538333,37.85993833,23.90548333,21.2816,24.60525,20.10605,14.52378333,23.3162,,,,,,,,,,
Sep-12,40.85896667,37.29483031,23.45801667,20.59615,26.34391667,23.75175,17.75066667,23.44566667,,,,,,,,,,
Oct-12,44.00756667,39.94248343,24.84583333,22.28066667,27.93676667,25.3631,19.14246667,22.43075,,,,,,,,,,
Nov-12,42.06316667,39.52663293,24.69418333,20.64216667,27.94416667,25.62725,19.46468333,21.6058,,,,,,,,,,
Dec-12,43.03961667,37.3483039,24.6003,19.98255,27.67456667,23.8291,18.53158333,21.65515,,,,,,,,,,
Jan-13,44.14476667,45.49499648,26.41538333,21.56416667,29.83848333,25.03455,19.74486667,22.01725,,,,,,,,,,
Feb-13,39.69426667,39.71111144,23.78186667,18.61305,25.85758333,23.65755,17.75748333,19.67195,,,,,,,,,,
Mar-13,37.0391,40.74453188,24.23886667,17.71731667,26.06858333,22.93888333,16.76465,21.52555,,,,,,,,,,
Apr-13,36.50638333,39.14105296,22.19005,17.57688333,23.37945,22.69018333,16.24961667,19.61825,,,,,,,,,,
May-13,35.33611667,38.09605095,22.20881667,18.02871667,24.76703333,23.13413333,16.69641667,20.44828333,,,,,,,,,,
Jun-13,35.03995,36.7035522,21.372,17.55928333,23.52223333,21.17393333,15.22516667,19.4379,,,,,,,,,,
Jul-13,36.2886,34.8222981,19.49163333,17.4933,27.35215,24.56745,27.42549622,20.18521667,,,,,,,,,,
Aug-13,35.98688333,36.35216455,20.05788333,18.2626,27.26988333,24.16701667,22.17816667,20.3208,,,,,,,,,,
Sep-13,36.38591667,35.34406667,20.18391667,18.00023333,29.55948333,27.27768333,25.70773333,20.53426667,,,,,,,,,,
Oct-13,37.23205,37.45241667,20.77501667,18.1645,31.10418333,28.22235,26.58338333,19.88171667,,,,,,,,,,
Nov-13,35.59631667,37.10808333,19.98743333,17.31801667,30.49513333,27.81236667,25.28721667,18.97646667,,,,,,,,,,
Dec-13,35.84888333,33.40691667,19.534,16.2604,29.46613333,27.33665,24.37325,18.69133333,,,,,,,,,,
Jan-14,35.67163333,38.85416667,21.35128333,17.5692,31.79646667,29.69281667,28.30175,19.78996667,,,,,,,,,,
Feb-14,32.60693333,33.62698333,18.79021667,15.53023333,28.1721,26.55238333,24.58221667,18.3838,,,,,,,,,,
Mar-14,34.62638333,34.72648333,18.85385,16.96183333,28.05678333,28.19923333,25.0891,20.72096667,,,,,,,,,,
Apr-14,32.82716667,32.74125,17.38176667,25.28418333,27.83508333,26.47116667,23.66416667,19.11661667,,,,,,,,,,
May-14,31.68826667,32.2729,17.21136667,25.61528333,28.88996667,26.93698333,23.01035,19.14425,,,,,,,,,,
Jun-14,32.44826667,31.4129,16.28378333,24.99553333,26.82846667,26.57253333,22.99461667,18.8216,,,,,,,,,,
Jul-14,33.2281,31.1498,25.39716667,24.71908333,26.42,25.35388333,23.43403333,19.6487,,,,,,,,,,
Aug-14,33.4857,31.17281667,25.7851,25.13255,24.2895,23.17533333,19.56361667,19.17873333,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Source: comScore MMX, work and home panel, August 2012 to August 2014, persons 15+Note: Comparisons between data before and after January 2013 in the UK, March 2013 in the US, and July 2013 in France, Spain and Italy should be treated with caution due to a change in panel weighting methodology",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ICMR 5.13,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Figure 5.13,,,,,,,,,,,,,,,,,,
Fixed devices used to access the internet,,,,,,,,,,,,,,,,,,
All respondents (%),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
 ,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,CHN,,,,,,,,,
Laptop/ Netbook,66,62,68,67,60,68,70,64,73,,,,,,,,,
Desktop,46,56,55,56,54,49,54,59,66,,,,,,,,,
Games console,11,7,7,10,15,11,10,12,6,,,,,,,,,
Smart TV,12,5,11,14,7,6,13,10,16,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research October 2014Base: All respondents, UK=1011, FRA=1027, GER=1006, ITA=1006, USA=1000, JPN=1003, AUS=1000, ESP=1002, CHN=1010. Q.7a Which of the following devices do you use to access the internet?",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ICMR 5.14,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Figure 5.14,,,,,,,,,,,,,,,,,,
Use of smartphones,,,,,,,,,,,,,,,,,,
"Proportion of respondents (%)
",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
UK,63,,,,,,,,,,,,,,,,,
FRA,57,,,,,,,,,,,,,,,,,
GER,62,,,,,,,,,,,,,,,,,
ITA,76,,,,,,,,,,,,,,,,,
USA,50,,,,,,,,,,,,,,,,,
JPN,77,,,,,,,,,,,,,,,,,
AUS,69,,,,,,,,,,,,,,,,,
ESP,77,,,,,,,,,,,,,,,,,
CHN,80,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research October 2014
Base: All respondents, UK=1011, FRA=1027, GER=1006, ITA=1006, USA=1000, JPN=1003, AUS=1000, ESP=1002, CHN=1010 
Q. 4a Which of the following devices do you personally use?",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ICMR 5.15,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Figure 5.15,,,,,,,,,,,,,,,,,,
Use of tablets,,,,,,,,,,,,,,,,,,
"Proportion of respondents (%)
",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
UK,35,,,,,,,,,,,,,,,,,
FRA,31,,,,,,,,,,,,,,,,,
GER,29,,,,,,,,,,,,,,,,,
ITA,43,,,,,,,,,,,,,,,,,
USA,31,,,,,,,,,,,,,,,,,
JPN,23,,,,,,,,,,,,,,,,,
AUS,38,,,,,,,,,,,,,,,,,
ESP,45,,,,,,,,,,,,,,,,,
CHN,46,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
